ID,STASH,STASHmaster description,Units,Valid from,Valid to,CF standard name,CF info,PP conditions
1,1,PSTAR AFTER TIMESTEP,Pa,,407,surface_air_pressure,,
1,2,U COMPNT OF WIND AFTER TIMESTEP,m s-1,,,eastward_wind,,true_latitude_longitude
1,2,U COMPNT OF WIND AFTER TIMESTEP,m s-1,,,x_wind,,rotated_latitude_longitude
1,3,V COMPNT OF WIND AFTER TIMESTEP,m s-1,,,northward_wind,,true_latitude_longitude
1,3,V COMPNT OF WIND AFTER TIMESTEP,m s-1,,,y_wind,,rotated_latitude_longitude
1,4,THETA AFTER TIMESTEP,K,,,air_potential_temperature,,
1,5,THETAL IN THE EXTERNAL DUMP,,,407,,,
1,9,SOIL MOISTURE CONTENT IN A LAYER,kg m-2,,,moisture_content_of_soil_layer,,
1,10,SPECIFIC HUMIDITY AFTER TIMESTEP,1,,,specific_humidity,,
1,11,QT IN THE EXTERNAL DUMP,,,407,,,
1,12,QCF IN THE EXTERNAL DUMP,1,405,407,mass_fraction_of_cloud_ice_in_air,,
1,13,CONV CLOUD AMOUNT AFTER TIMESTEP,1,,,convective_cloud_area_fraction,,
1,14,CONV CLOUD BASE LEVEL NO. AFTER TS,,,,,,
1,15,CONV CLOUD TOP LEVEL NO. AFTER TS,,,,,,
1,16,CONV CLOUD LIQUID WATER PATH,,,,,,
1,17,SILHOUETTE OROGRAPHIC ROUGHNESS,,,,,,
1,18,HALF OF (PEAK TO TROUGH HT OF OROG),,,,,,
1,19,STANDARD OROGRAPHIC ROUGHNESS,,,400.2,,,
1,20,DEEP SOIL TEMP AFTER TIMESTEP,K,,,soil_temperature,,
1,21,SOIL MOISTURE CONTENT AFTER TS KG/M2,kg m-2,,407,soil_moisture_content,,
1,22,CANOPY WATER AFTER TIMESTEP KG/M2,,,,,,
1,23,SNOW AMOUNT AFTER TIMESTEP KG/M2,kg m-2,,503,snowfall_amount,,
1,24,SURFACE TEMPERATURE AFTER TIMESTEP,K,,,surface_temperature,,
1,25,BOUNDARY LAYER DEPTH AFTER TIMESTEP,m,,,atmosphere_boundary_layer_thickness,,
1,26,ROUGHNESS LENGTH AFTER TIMESTEP,m,,,surface_roughness_length,,
1,27,SNOW EDGE AFTER TIMESTEP **,,,,,,
1,28,SURFACE ZONAL CURRENT AFTER TIMESTEP,m s-1,,,surface_eastward_sea_water_velocity,,
1,29,SURFACE MERID CURRENT AFTER TIMESTEP,m s-1,,,surface_northward_sea_water_velocity,,
1,30,LAND MASK (LOGICAL: LAND=TRUE),1,,407,land_binary_mask,,
1,31,SEA ICE FRACTION AFTER TIMESTEP,1,,502,sea_ice_area_fraction,,
1,32,SEA ICE DEPTH (MEAN OVER ICE) M,m,,,sea_ice_thickness,,
1,33,OROGRAPHY (/STRAT LOWER BC),m,,,surface_altitude,,
1,34,STANDARD DEVIATION OF OROGRAPHY,,,,,,
1,35,OROGRAPHIC GRADIENT XX COMPONENT,,,,,,
1,36,OROGRAPHIC GRADIENT XY COMPONENT,,,,,,
1,37,OROGRAPHIC GRADIENT YY COMPONENT,,,,,,
1,38,ICE EDGE IN THE ANCILLARY FILE ONLY,,402,,,,
1,38,ICE EDGE AFTER TIMESTEP **,,,401,,,
1,39,SST ANOMALY,,,,,,
1,40,VOL SMC AT WILTING AFTER TIMESTEP,1,,,volume_fraction_of_condensed_water_in_soil_at_wilting_point,,
1,41,VOL SMC AT CRIT PT AFTER TIMESTEP,1,,,volume_fraction_of_condensed_water_in_soil_at_critical_point,,
1,42,VOL SMC AT FIELD CAP AFTER TIMESTEP,1,,407,volume_fraction_of_condensed_water_in_soil_at_field_capacity,,
1,43,VOL SMC AT SATURATION AFTER TIMESTEP,1,,,soil_porosity,,
1,44,SAT SOIL CONDUCTIVITY AFTER TIMESTEP,m s-1,,,soil_hydraulic_conductivity_at_saturation,,
1,45,EAGLESON'S EXPONENT AFTER TIMESTEP,,,501,,,
1,46,THERMAL CAPACITY AFTER TIMESTEP,J kg-1 K-1,,,soil_thermal_capacity,,
1,47,THERMAL CONDUCTIVITY AFTER TIMESTEP,W m-1 K-1,,,soil_thermal_conductivity,,
1,48,SATURATED SOIL WATER SUCTION **,Pa,,,soil_suction_at_saturation,,
1,49,SEA-ICE TEMPERATURE AFTER TIMESTEP,K,,,sea_ice_temperature,,
1,50,VEGETATION FRACTION AFTER TIMESTEP,1,,,vegetation_area_fraction,,
1,51,ROOT DEPTH AFTER TIMESTEP,m,,,root_depth,,
1,52,SNOW-FREE SURFACE ALBEDO AFTER TS,1,,,surface_albedo_assuming_no_snow,,
1,53,DEEP SNOW SURFACE ALBEDO AFTER TS,1,,,surface_albedo_assuming_deep_snow,,
1,54,SURFACE RESISTANCE TO EVAP AFTER TS,,,,,,
1,55,SURFACE CAPACITY AFTER TIMESTEP,,,,,,
1,56,INFILTRATION FACTOR AFTER TIMESTEP,,,,,,
1,57,TOTAL AEROSOL EMISSIONS (FOR VIS),,,,,,
1,58,SULPHUR DIOXIDE EMISSIONS,,,,,,
1,59,DIMETHYL SULPHIDE EMISSIONS,,,505,,,
1,60,OZONE **,1,,,mass_fraction_of_ozone_in_air,,
1,61,ATM TRACER 1 (CONVEN O3 )AFTER TS,,,505,,,
1,62,ATM TRACER 2 (CONVEN H2O )AFTER TS,,,505,,,
1,63,ATM TRACER 3 (CONVEN CO )AFTER TS,,,505,,,
1,64,ATM TRACER 4 (CONVEN CH4 )AFTER TS,,,505,,,
1,65,ATM TRACER 5 (CONVEN N2O )AFTER TS,,,505,,,
1,66,ATM TRACER 6 (CONVEN NO )AFTER TS,,,505,,,
1,67,ATM TRACER 7 (CONVEN NO2 )AFTER TS,,,505,,,
1,68,ATM TRACER 8 (CONVEN HNO3 )AFTER TS,,,505,,,
1,69,ATM TRACER 9 (CONVEN N2O5 )AFTER TS,,,505,,,
1,70,ATM TRACER 10 (CONVN CLONO2)AFTER TS,,,505,,,
1,71,ATM TRACER 11 (CONVEN CLO )AFTER TS,,,505,,,
1,72,ATM TRACER 12 (CONVEN HCL )AFTER TS,,,505,,,
1,73,ATM TRACER 13 (CONVN CF2CL2)AFTER TS,,,505,,,
1,74,ATM TRACER 14 (CONVEN CFCL3)AFTER TS,,,505,,,
1,75,ATM TRACER 15 (CONVEN HF )AFTER TS,,,505,,,
1,76,ATM TRACER 16 (CONVEN -----)AFTER TS,,,505,,,
1,77,ATM TRACER 17 (CONVEN -----)AFTER TS,,,505,,,
1,78,ATM TRACER 18 (CONVEN -----)AFTER TS,,,505,,,
1,79,ATM TRACER 19 (CONVEN ---- )AFTER TS,,401,505,,,
1,79,ATM TRACER 19 (CONVEN SO2 )AFTER TS,,,400.2,,,
1,80,ATM TRACER 20 (CONVEN ---- )AFTER TS,,401,505,,,
1,80,ATM TRACER 20 (CONVEN DMS )AFTER TS,,,400.2,,,
1,81,ATM TRACER 21 (CONVEN H2S )AFTER TS,,,505,,,
1,82,ATM TRACER 22 (CONV WATER-SOL)AFT TS,,,505,,,
1,83,"ATM TRACER 23 (CONV ""DUST"" )AFTER TS",,,505,,,
1,84,ATM TRACER 24 (CONV OCEANIC)AFTER TS,,,505,,,
1,85,ATM TRACER 25 (CONVEN SOOT )AFTER TS,,,505,,,
1,86,ATM TRACER 26 (CONV VOLC ASH) AFT TS,,,505,,,
1,87,ATM TRACER 27 (CONVEN H2SO4)AFTER TS,,,505,,,
1,88,ATM TRACER 28 (NH4)2SO4 AFTER TS,,,505,,,
1,89,ATM TRACER 29 (CONV MINERAL)AFTER TS,,,505,,,
1,90,TOTAL AEROSOL (FOR VISIBILITY),,,,,,
1,93,RUNOFF COASTAL OUTFLOW POINT,,,,,,
1,96,HORIZ BOUNDARY TENDS: UNAVAILABLE,,,500,,,
1,97,HORIZ BOUNDARY VALUES: UNAVAILABLE,,,500,,,
1,98,LOWER BOUNDARY TENDENCIES (OROG),,,,,,
1,101,SO2 MASS MIXING RATIO AFTER TSTEP,1,401,,mass_fraction_of_sulfur_dioxide_in_air,,
1,102,DIMETHYL SULPHIDE MIX RAT AFTER TS,1,401,,mass_fraction_of_dimethyl_sulfide_in_air,,
1,103,SO4 AITKEN MODE AEROSOL AFTER TSTEP,,401,,,,
1,104,SO4 ACCUM. MODE AEROSOL AFTER TSTEP,,401,,,,
1,105,SO4 DISSOLVED AEROSOL AFTER TSTEP,,401,,,,
1,106,H2O2 MASS MIXING RATIO AFTER TSTEP,,401,,,,
1,107,NH3 MASS MIXING RATIO AFTER TSTEP,,405,,,,
1,108,FRESH SOOT MASS MIX RAT AFTER TSTEP,,405,,,,
1,109,AGED SOOT MASS MIX RAT AFTER TSTEP,,405,,,,
1,110,CLOUD SOOT MASS MIX RAT AFTER TSTEP,,405,,,,
1,121,3D NATURAL SO2 EMISSIONS KG/M2/S,,401,,,,
1,122,3D OH CONCENTRATIONS IN MCULES/CC,,401,,,,
1,123,3D HO2 CONCENTRATIONS IN MCULES/CC,,401,,,,
1,124,3D H2O2 MIX RATIO LIMIT FIELD,,401,,,,
1,125,3D OZONE MIX RAT FOR SULPHUR CYCLE,,401,,,,
1,126,HIGH LEVEL SO2 EMISSIONS KG/M2/S,,401,,,,
1,127,AMMONIA GAS EMISSIONS KG/M2/S,,405,,,,
1,128,FRESH SOOT SURF EMISS KG/M2/S,,405,,,,
1,129,FRESH SOOT HI LEV EMISS KG/M2/S,,405,,,,
1,150,W COMP OF WIND C-P TH LEVS:VAR DUMMY,,401,407,,,
1,151,PRESSURE C-P RHO LEVS:VAR DUMMY,,401,407,,,
1,152,DENSITY*R*R C-P RHO LEVS:VAR DUMMY,,401,407,,,
1,153,U COMP OF WIND C-P RHO LEVS:VAR DUM,,401,407,,,
1,154,V COMP OF WIND C-P RHO LEVS:VAR DUM,,401,407,,,
1,160,HADCM2 SULPHATE LOADING PATTERNS,,403,407,,,
1,201,PSTAR PERTURBATION- DUMMY,,,,,,
1,202,U COMPNT PERTURBATION- DUMMY,,,,,,
1,203,V COMPNT PERTURBATION- DUMMY,,,,,,
1,204,THETA PERTURBATION- DUMMY,,,,,,
1,205,FRACTIONAL LAND COVER,1,,,land_area_fraction,,
1,206,"VAN GENUCHTEN ""B"" PARAMETER",,401,403,,,
1,207,"CLAPP-HORNBERGER ""B"" COEFFICIENT",,401,,,,
1,208,LEAF AREA INDEX OF VEG FRACTION,1,401,,leaf_area_index,,
1,209,CANOPY HEIGHT OF VEGETATED FRACTION,m,401,,canopy_height,,
1,211,CCA with anvil after timestep,,404,407,,,
1,213,CANOPY CONDUCTANCE AFTER TIMESTEP,,401,,,,
1,214,UNFROZEN SOIL MOISTURE FRAC AFTER TS,1,401,,mass_fraction_of_unfrozen_water_in_soil_moisture,,
1,215,FROZEN SOIL MOISTURE FRAC AFTER TS,1,401,,mass_fraction_of_frozen_water_in_soil_moisture,,
1,216,FRACTIONS OF SURFACE TYPES,,404,,,,
1,217,LEAF AREA INDEX OF PLANT FUNC TYPES,1,404,,leaf_area_index,,
1,218,CANOPY HEIGHT OF PLANT FUNC TYPES M,m,404,,canopy_height,,
1,219,DISTURBED FRACTION OF VEGETATION,,404,,,,
1,220,SNOW-FREE ALBEDO OF SOIL,1,404,,soil_albedo,,
1,221,SNOW SOOT CONTENT,,404,502,,,
1,222,NET ENERGY CHANGE THIS PERIOD J/M**2,,404,,,,
1,223,SOIL CARBON CONTENT KG C / M2,kg m-2,404,,soil_carbon_content,,
1,224,ACCUMULATED NPP ON PLANT FUNC TYPES,,404,501,,,
1,225,ACCUMULATED LEAF TURNOVER RATE PFTS,,404,,,,
1,226,ACCUMULATED PHENOL LEAF TRNVR PFTS,,404,,,,
1,227,ACCUMULATED WOOD RESPIRATION PFTS,,404,,,,
1,228,ACCUMULATED SOIL RESPIRATION,,404,,,,
1,229,CANOPY WATER ON NON-ICE TILES KG/M2,,404,501,,,
1,230,CANOPY CAPACITY NON-ICE TILES KG/M2,,404,501,,,
1,231,SNOW GRAIN SIZE MICRONS,1e-6 m,404,501,snow_grain_size,,
1,232,SNOW TEMPERATURE K,K,404,501,temperature_in_surface_snow,,
1,233,SURFACE TEMP ON SNOW-ADJSTD TILES K,,405,501,,,
1,233,SURFACE TEMPERATURE ON TILES K,,404,404.1,,,
1,234,ROUGHNESS LENGTH ON TILES M,,404,,,,
1,250,CO2 OCEAN FLUX KG/M**2/S,,405,,,,
1,251,CO2 SURFACE EMISSIONS KG/M**2/S,,405,,,,
1,252,CO2 3D TRACER MASS MIXING RATIO,1,405,,mass_fraction_of_carbon_dioxide_in_air,,
1,401,P_EXNER IN D1 FOR ADDRESSING ONLY,,403,407,,,
1,402,QCL IN D1 FOR ADDRESSING ONLY,,403,407,,,
1,403,QCF IN D1 FOR ADDRESSING ONLY,,403,407,,,
1,404,RHCRIT IN D1 FOR ADDRESSING ONLY,,405,502,,,
1,405,SOIL MOISTURE CONTENT IN D1 FOR ADD,,405,407,,,
1,1004,TEMPERATURE AFTER SW RAD INCREMENTS,K,,,air_temperature,,
1,1201,NET DOWN SURFACE SW FLUX: SW TS ONLY,W m-2,,,surface_net_downward_shortwave_flux,,
1,1202,NET DOWN SW FLUX: SOLID SURF: ALL TS,,,407,,,
1,1203,NET DOWN SW RAD FLUX: OPEN SEA,W m-2,,407,surface_net_downward_shortwave_flux,where_open_sea,
1,1204,NET DOWN SURFACE SW FLUX BELOW 690NM,,401,407,,,
1,1204,NET DOWN SW RAD FLUX:OPEN SEA:BAND 1,,,400.2,,,
1,1205,SNOW-FREE SURFACE ALBEDO (ANCILLARY),,,407,,,
1,1206,DEEP SNOW SURFACE ALBEDO (ANCILLARY),,,407,,,
1,1207,INCOMING SW RAD FLUX (TOA): ALL TSS,W m-2,,,toa_incoming_shortwave_flux,,
1,1208,OUTGOING SW RAD FLUX (TOA),W m-2,,407,toa_outgoing_shortwave_flux,,
1,1209,CLEAR-SKY (II) UPWARD SW FLUX (TOA),W m-2,,,toa_outgoing_shortwave_flux_assuming_clear_sky,,
1,1210,CLEAR-SKY (II) DOWN SURFACE SW FLUX,W m-2,,,surface_downwelling_shortwave_flux_in_air_assuming_clear_sky,,
